	# Disease ID	Disease Name	Gene ID	Gene_Name
0	C0036095	Salivary Gland Neoplasms	1462	VCAN
1	C0036095	Salivary Gland Neoplasms	1612	DAPK1
2	C0036095	Salivary Gland Neoplasms	182	JAG1
3	C0036095	Salivary Gland Neoplasms	2011	MARK2
4	C0036095	Salivary Gland Neoplasms	2019	EN1
5	C0036095	Salivary Gland Neoplasms	2175	FANCA
6	C0036095	Salivary Gland Neoplasms	2195	FAT1
7	C0036095	Salivary Gland Neoplasms	23209	MLC1
8	C0036095	Salivary Gland Neoplasms	23543	RBFOX2
9	C0036095	Salivary Gland Neoplasms	23619	ZIM2
10	C0036095	Salivary Gland Neoplasms	259266	ASPM
11	C0036095	Salivary Gland Neoplasms	2620	GAS2
12	C0036095	Salivary Gland Neoplasms	2621	GAS6
13	C0036095	Salivary Gland Neoplasms	27344	PCSK1N
14	C0036095	Salivary Gland Neoplasms	2982	GUCY1A1
15	C0036095	Salivary Gland Neoplasms	3485	IGFBP2
16	C0036095	Salivary Gland Neoplasms	358	AQP1
17	C0036095	Salivary Gland Neoplasms	3691	ITGB4
18	C0036095	Salivary Gland Neoplasms	3852	KRT5
19	C0036095	Salivary Gland Neoplasms	3866	KRT15
20	C0036095	Salivary Gland Neoplasms	4082	MARCKS
21	C0036095	Salivary Gland Neoplasms	50805	IRX4
22	C0036095	Salivary Gland Neoplasms	51477	ISYNA1
23	C0036095	Salivary Gland Neoplasms	51514	DTL
24	C0036095	Salivary Gland Neoplasms	51659	GINS2
25	C0036095	Salivary Gland Neoplasms	5174	PDZK1
26	C0036095	Salivary Gland Neoplasms	5176	SERPINF1
27	C0036095	Salivary Gland Neoplasms	53335	BCL11A
28	C0036095	Salivary Gland Neoplasms	54441	STAG3L1
29	C0036095	Salivary Gland Neoplasms	54531	MIER2
30	C0036095	Salivary Gland Neoplasms	5587	PRKD1
31	C0036095	Salivary Gland Neoplasms	57419	SLC24A3
32	C0036095	Salivary Gland Neoplasms	5834	PYGB
33	C0036095	Salivary Gland Neoplasms	595	CCND1
34	C0036095	Salivary Gland Neoplasms	6484	ST3GAL4
35	C0036095	Salivary Gland Neoplasms	6651	SON
36	C0036095	Salivary Gland Neoplasms	6659	SOX4
37	C0036095	Salivary Gland Neoplasms	6664	SOX11
38	C0036095	Salivary Gland Neoplasms	7153	TOP2A
39	C0036095	Salivary Gland Neoplasms	80303	EFHD1
40	C0036095	Salivary Gland Neoplasms	81029	WNT5B
41	C0036095	Salivary Gland Neoplasms	81831	NETO2
42	C0036095	Salivary Gland Neoplasms	9454	HOMER3
43	C0036095	Salivary Gland Neoplasms	9700	ESPL1
44	C0036095	Salivary Gland Neoplasms	999	CDH1
45	C0033941	Psychoses, Substance-Induced	135	ADORA2A
46	C0033941	Psychoses, Substance-Induced	1636	ACE
47	C0033941	Psychoses, Substance-Induced	207	AKT1
48	C0033941	Psychoses, Substance-Induced	2099	ESR1
49	C0033941	Psychoses, Substance-Induced	2912	GRM2
50	C0033941	Psychoses, Substance-Induced	2950	GSTP1
51	C0033941	Psychoses, Substance-Induced	3350	HTR1A
52	C0033941	Psychoses, Substance-Induced	3362	HTR6
53	C0033941	Psychoses, Substance-Induced	4886	NPY1R
54	C0033941	Psychoses, Substance-Induced	4988	OPRM1
55	C0033941	Psychoses, Substance-Induced	5245	PHB
56	C0033941	Psychoses, Substance-Induced	6531	SLC6A3
57	C0033941	Psychoses, Substance-Induced	6622	SNCA
58	C0033941	Psychoses, Substance-Induced	6648	SOD2
59	C0033941	Psychoses, Substance-Induced	816	CAMK2B
60	C0033941	Psychoses, Substance-Induced	8787	RGS9
61	C0033941	Psychoses, Substance-Induced	9463	PICK1
62	C0043459	Zellweger Syndrome	3295	HSD17B4
63	C0043459	Zellweger Syndrome	5189	PEX1
64	C0043459	Zellweger Syndrome	5190	PEX6
65	C0043459	Zellweger Syndrome	5192	PEX10
66	C0043459	Zellweger Syndrome	5193	PEX12
67	C0043459	Zellweger Syndrome	5194	PEX13
68	C0043459	Zellweger Syndrome	5195	PEX14
69	C0043459	Zellweger Syndrome	55670	PEX26
70	C0043459	Zellweger Syndrome	5824	PEX19
71	C0043459	Zellweger Syndrome	5825	ABCD3
72	C0043459	Zellweger Syndrome	5828	PEX2
73	C0043459	Zellweger Syndrome	5830	PEX5
74	C0043459	Zellweger Syndrome	8504	PEX3
75	C0043459	Zellweger Syndrome	8799	PEX11B
76	C0043459	Zellweger Syndrome	9409	PEX16
78	C0033860	Psoriasis	10318	TNIP1
79	C0033860	Psoriasis	10498	CARM1
80	C0033860	Psoriasis	10547	PSORS4
81	C0033860	Psoriasis	10758	TRAF3IP2
82	C0033860	Psoriasis	10866	HCP5
83	C0033860	Psoriasis	117289	TAGAP
84	C0033860	Psoriasis	125893	ZNF816
85	C0033860	Psoriasis	1356	CP
86	C0033860	Psoriasis	1401	CRP
87	C0033860	Psoriasis	140454	PSORS8
88	C0033860	Psoriasis	1437	CSF2
89	C0033860	Psoriasis	149233	IL23R
90	C0033860	Psoriasis	163702	IFNLR1
91	C0033860	Psoriasis	23586	DDX58
92	C0033860	Psoriasis	2524	FUT2
93	C0033860	Psoriasis	2706	GJB2
95	C0033860	Psoriasis	29785	CYP2S1
96	C0033860	Psoriasis	3107	HLA-C
97	C0033860	Psoriasis	338442	HCAR2
98	C0033860	Psoriasis	348	APOE
99	C0033860	Psoriasis	353143	LCE3B
100	C0033860	Psoriasis	353144	LCE3C
101	C0033860	Psoriasis	3553	IL1B
102	C0033860	Psoriasis	3565	IL4
103	C0033860	Psoriasis	3569	IL6
104	C0033860	Psoriasis	3593	IL12B
105	C0033860	Psoriasis	3596	IL13
106	C0033860	Psoriasis	359825	PSORS9
107	C0033860	Psoriasis	400957	LINC01185
108	C0033860	Psoriasis	4288	MKI67
109	C0033860	Psoriasis	4792	NFKBIA
110	C0033860	Psoriasis	4843	NOS2
112	C0033860	Psoriasis	5111	PCNA
113	C0033860	Psoriasis	51561	IL23A
114	C0033860	Psoriasis	51752	ERAP1
115	C0033860	Psoriasis	5271	SERPINB8
116	C0033860	Psoriasis	54620	FBXL19
117	C0033860	Psoriasis	5468	PPARG
118	C0033860	Psoriasis	55350	VNN3
119	C0033860	Psoriasis	55770	EXOC2
120	C0033860	Psoriasis	55905	RNF114
121	C0033860	Psoriasis	57178	ZMIZ1
122	C0033860	Psoriasis	5966	REL
123	C0033860	Psoriasis	5972	REN
124	C0033860	Psoriasis	5980	REV3L
125	C0033860	Psoriasis	6278	S100A7
126	C0033860	Psoriasis	63869	PSORS6
127	C0033860	Psoriasis	63870	PSORS5
128	C0033860	Psoriasis	64135	IFIH1
129	C0033860	Psoriasis	643749	TRAF3IP2-AS1
130	C0033860	Psoriasis	64478	CSMD1
131	C0033860	Psoriasis	65245	PSORS7
132	C0033860	Psoriasis	6648	SOD2
133	C0033860	Psoriasis	6773	STAT2
134	C0033860	Psoriasis	6774	STAT3
135	C0033860	Psoriasis	7039	TGFA
136	C0033860	Psoriasis	7124	TNF
137	C0033860	Psoriasis	7128	TNFAIP3
138	C0033860	Psoriasis	7157	TP53
139	C0033860	Psoriasis	7297	TYK2
140	C0033860	Psoriasis	7422	VEGFA
141	C0033860	Psoriasis	7889	PSORS3
142	C0033860	Psoriasis	79092	CARD14
143	C0033860	Psoriasis	81890	QTRT1
144	C0033860	Psoriasis	831	CAST
145	C0033860	Psoriasis	84648	LCE3D
146	C0033860	Psoriasis	847	CAT
147	C0033860	Psoriasis	85463	ZC3H12C
148	C0033860	Psoriasis	864	RUNX3
149	C0033860	Psoriasis	8651	SOCS1
150	C0033860	Psoriasis	8875	VNN2
151	C0033860	Psoriasis	8876	VNN1
152	C0033860	Psoriasis	90134	KCNH7
153	C0033860	Psoriasis	9232	PTTG1
154	C0033860	Psoriasis	9692	PRORP
155	C0033860	Psoriasis	9825	SPATA2
156	C0033860	Psoriasis	9844	ELMO1
157	C0027726	Nephrotic Syndrome	1277	COL1A1
158	C0027726	Nephrotic Syndrome	1282	COL4A1
159	C0027726	Nephrotic Syndrome	1284	COL4A2
160	C0027726	Nephrotic Syndrome	2	A2M
161	C0027726	Nephrotic Syndrome	213	ALB
162	C0027726	Nephrotic Syndrome	2152	F3
163	C0027726	Nephrotic Syndrome	2247	FGF2
164	C0027726	Nephrotic Syndrome	2262	GPC5
165	C0027726	Nephrotic Syndrome	2981	GUCA2B
166	C0027726	Nephrotic Syndrome	3123	HLA-DRB1
167	C0027726	Nephrotic Syndrome	3291	HSD11B2
168	C0027726	Nephrotic Syndrome	3558	IL2
169	C0027726	Nephrotic Syndrome	462	SERPINC1
170	C0027726	Nephrotic Syndrome	4690	NCK1
171	C0027726	Nephrotic Syndrome	5054	SERPINE1
172	C0027726	Nephrotic Syndrome	6648	SOD2
173	C0027726	Nephrotic Syndrome	7018	TF
174	C0027726	Nephrotic Syndrome	7040	TGFB1
175	C0027726	Nephrotic Syndrome	7827	NPHS2
176	C0027726	Nephrotic Syndrome	8440	NCK2
177	C0027726	Nephrotic Syndrome	914	CD2
178	C0338480	Common Migraine	221692	PHACTR1
179	C0338480	Common Migraine	23063	WAPL
180	C0338480	Common Migraine	23245	ASTN2
182	C0338480	Common Migraine	4035	LRP1
183	C0338480	Common Migraine	4209	MEF2D
184	C0338480	Common Migraine	6863	TAC1
185	C0338480	Common Migraine	79054	TRPM8
186	C0338480	Common Migraine	796	CALCA
187	C0338480	Common Migraine	79783	SUGCT
188	C0338480	Common Migraine	9457	FHL5
189	C0338480	Common Migraine	9910	RABGAP1L
190	C0026636	Mouth Diseases	10036	CHAF1A
191	C0026636	Mouth Diseases	2189	FANCG
192	C0026636	Mouth Diseases	2937	GSS
193	C0026636	Mouth Diseases	3301	DNAJA1
194	C0026636	Mouth Diseases	51182	HSPA14
195	C0026636	Mouth Diseases	54541	DDIT4
196	C0026636	Mouth Diseases	56603	CYP26B1
197	C0026636	Mouth Diseases	5743	PTGS2
198	C0026636	Mouth Diseases	6283	S100A12
199	C0026636	Mouth Diseases	672	BRCA1
200	C0026636	Mouth Diseases	8208	CHAF1B
201	C0026636	Mouth Diseases	9518	GDF15
202	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	126328	NDUFA11
203	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	137682	NDUFAF6
204	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	25915	NDUFAF3
205	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	29078	NDUFAF4
206	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	374291	NDUFS7
207	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4535	ND1
208	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4536	ND2
209	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4537	ND3
210	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4538	ND4
211	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4540	ND5
212	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4541	ND6
213	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4570	TRNN
214	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4694	NDUFA1
